 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
7150 sequences read into 7150 blocks, (7150 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<1000 scored
Adjacent sequences scored with bonus of 10
141196 pairs collected
144024
 npairs = 144024
pre_order  npairs = 144024
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 1660
pack_lists 6982/7150 blocks moved

New sequence order is:
* Block 0 <=== 320	USER>>AACN010607701.1/895-1033	  139   [+0+] AACN010607701.1/895-1033 Canis familiaris ctg19866851718594, whole genome shotgun sequence.
* Block 21 <=== 807	USER>>DAAB012443937.1/1-140	  140   [+0+] DAAB012443937.1/1-140 TPA: Homo sapiens contig2443937, whole genome shotgun sequence.
* Block 22 <=== 711	USER>>AAQR03063200.1/5157-5342	  186   [+0+] AAQR03063200.1/5157-5342 Otolemur garnettii contig063200, whole genome shotgun sequence.
* Block 23 <=== 558	USER>>AAYZ01280048.1/748-934	  187   [+0+] AAYZ01280048.1/748-934 Ochotona princeps cont2.280047, whole genome shotgun sequence.
* Block 24 <=== 328	USER>>ABRT010962952.1/514-337	  178   [+2+] ABRT010962952.1/514-337 Tarsius syrichta cont1.962951, whole genome shotgun sequence.
* Block 25 <=== 1027	USER>>AAGV020050554.1/953-763	  191   [+0+] AAGV020050554.1/953-763 Dasypus novemcinctus cont2.50553, whole genome shotgun sequence.
* Block 26 <=== 984	USER>>ABRR01217118.1/14712-14887	  176   [+0+] ABRR01217118.1/14712-14887 Vicugna pacos cont1.217117, whole genome shotgun sequence.
* Block 27 <=== 91	USER>>DAAA02072050.1/21351-21541	  191   [+2+] DAAA02072050.1/21351-21541 TPA: Bos taurus chromosome X 7180001852567, whole genome shotgun sequence.
* Block 28 <=== 399	USER>>ACBE01557440.1/2130-1934	  197   [+0+] ACBE01557440.1/2130-1934 Felis catus c562802713.Contig1, whole genome shotgun sequence.
* Block 29 <=== 318	USER>>AANG01136983.1/1-151	  151   [+0+] AANG01136983.1/1-151 Felis catus cont1.136982, whole genome shotgun sequence.
* Block 30 <=== 620	USER>>ABRR01424067.1/555-365	  191   [+0+] ABRR01424067.1/555-365 Vicugna pacos cont1.424066, whole genome shotgun sequence.
* Block 31 <=== 508	USER>>AAGV020026423.1/589-393	  197   [+0+] AAGV020026423.1/589-393 Dasypus novemcinctus cont2.26422, whole genome shotgun sequence.
* Block 32 <=== 539	USER>>AAIY01679389.1/1266-1074	  193   [+0+] AAIY01679389.1/1266-1074 Echinops telfairi cont1.679390, whole genome shotgun sequence.
* Block 33 <=== 161	USER>>AAXP01050028.1/533-340	  194   [+2+] AAXP01050028.1/533-340 Rattus norvegicus strain GK/Ox clone gko-49c4 gko-49c4.fp2_b1, whole genome shotgun sequence.
* Block 34 <=== 1048	USER>>AAEX03018034.1/81227-81047	  181   [+0+] AAEX03018034.1/81227-81047 Canis lupus familiaris cont3.18034, whole genome shotgun sequence.
* Block 35 <=== 607	USER>>AEMK01135847.1/6101-6284	  184   [+0+] AEMK01135847.1/6101-6284 Sus scrofa, whole genome shotgun sequence.
* Block 36 <=== 621	USER>>ACTA01082235.1/413-225	  189   [+0+] ACTA01082235.1/413-225 Ailuropoda melanoleuca scaffold927_75, whole genome shotgun sequence.
* Block 37 <=== 311	USER>>AAGV020276663.1/1085-1269	  185   [+0+] AAGV020276663.1/1085-1269 Dasypus novemcinctus cont2.276662, whole genome shotgun sequence.
* Block 38 <=== 1814	USER>>AGCE01100589.1/93070-92872	  199   [+0+] AGCE01100589.1/93070-92872 Saimiri boliviensis boliviensis contig100589, whole genome shotgun sequence.
* Block 39 <=== 618	USER>>AAGV020396239.1/1763-1953	  191   [+0+] AAGV020396239.1/1763-1953 Dasypus novemcinctus cont2.396238, whole genome shotgun sequence.
* Block 40 <=== 628	USER>>AAGV020438396.1/6899-6727	  173   [+1+] AAGV020438396.1/6899-6727 Dasypus novemcinctus cont2.438395, whole genome shotgun sequence.
* Block 41 <=== 629	USER>>ABDC01057528.1/3296-3106	  191   [+0+] ABDC01057528.1/3296-3106 Microcebus murinus cont1.57527, whole genome shotgun sequence.
* Block 42 <=== 70	USER>>AALT01330959.1/242-53	  190   [+0+] AALT01330959.1/242-53 Sorex araneus cont1.330958, whole genome shotgun sequence.
* Block 43 <=== 1030	USER>>AEYP01089734.1/15483-15290	  194   [+0+] AEYP01089734.1/15483-15290 Mustela putorius furo contig089734, whole genome shotgun sequence.
* Block 44 <=== 735	USER>>ACTA01112202.1/30260-30071	  190   [+0+] ACTA01112202.1/30260-30071 Ailuropoda melanoleuca scaffold76_73, whole genome shotgun sequence.
* Block 45 <=== 608	USER>>AAEX03011051.1/58130-58320	  191   [+0+] AAEX03011051.1/58130-58320 Canis lupus familiaris cont3.11051, whole genome shotgun sequence.
* Block 46 <=== 609	USER>>ABDC01102150.1/5013-5197	  185   [+0+] ABDC01102150.1/5013-5197 Microcebus murinus cont1.102149, whole genome shotgun sequence.
* Block 47 <=== 994	USER>>ABRT010188079.1/4116-3947	  170   [+0+] ABRT010188079.1/4116-3947 Tarsius syrichta cont1.188078, whole genome shotgun sequence.
* Block 48 <=== 509	USER>>AALT01138253.1/1829-1640	  190   [+0+] AALT01138253.1/1829-1640 Sorex araneus cont1.138252, whole genome shotgun sequence.
* Block 49 <=== 163	USER>>AAGV020928754.1/84-272	  189   [+0+] AAGV020928754.1/84-272 Dasypus novemcinctus cont2.928753, whole genome shotgun sequence.
* Block 50 <=== 754	USER>>AAPE02035642.1/3114-2924	  191   [+0+] AAPE02035642.1/3114-2924 Myotis lucifugus cont2.35641, whole genome shotgun sequence.
* Block 51 <=== 2	USER>>ABRO01213791.1/227-417	  191   [+0+] ABRO01213791.1/227-417 Dipodomys ordii cont1.213790, whole genome shotgun sequence.
* Block 52 <=== 752	USER>>AAIY01023833.1/1257-1437	  181   [+0+] AAIY01023833.1/1257-1437 Echinops telfairi cont1.023832, whole genome shotgun sequence.
* Block 53 <=== 536	USER>>ABRR01411627.1/416-231	  186   [+0+] ABRR01411627.1/416-231 Vicugna pacos cont1.411626, whole genome shotgun sequence.
* Block 54 <=== 721	USER>>AACZ03067845.1/66475-66665	  191   [+16+] AACZ03067845.1/66475-66665 Pan troglodytes chromosome 9 Contig37.504, whole genome shotgun sequence.
* Block 55 <=== 753	USER>>AAPE02028164.1/55492-55302	  191   [+0+] AAPE02028164.1/55492-55302 Myotis lucifugus cont2.28163, whole genome shotgun sequence.
* Block 56 <=== 23	USER>>AAGV020148915.1/2945-2754	  192   [+0+] AAGV020148915.1/2945-2754 Dasypus novemcinctus cont2.148914, whole genome shotgun sequence.
* Block 57 <=== 192	USER>>ABGA01042613.1/860-670	  191   [+0+] ABGA01042613.1/860-670 Pongo abelii chromosome 12 P_pygmaeus2.0.2_Contig1826.33, whole genome shotgun sequence.
* Block 58 <=== 496	USER>>AAQR03071282.1/9379-9189	  191   [+0+] AAQR03071282.1/9379-9189 Otolemur garnettii contig071282, whole genome shotgun sequence.
* Block 59 <=== 11	USER>>AAPE02002005.1/4572-4808	  237   [+0+] AAPE02002005.1/4572-4808 Myotis lucifugus cont2.2004, whole genome shotgun sequence.
* Block 60 <=== 137	USER>>AAQR03022645.1/63912-63722	  191   [+0+] AAQR03022645.1/63912-63722 Otolemur garnettii contig022645, whole genome shotgun sequence.
* Block 61 <=== 178	USER>>AANH01015961.1/1122-1312	  191   [+60+] AANH01015961.1/1122-1312 Gasterosteus aculeatus cont1.015960, whole genome shotgun sequence.
* Block 62 <=== 19	USER>>AANN01818428.1/35-225	  191   [+0+] AANN01818428.1/35-225 Erinaceus europaeus cont1.818427, whole genome shotgun sequence.
* Block 63 <=== 17	USER>>AAGV020470845.1/1252-1442	  191   [+0+] AAGV020470845.1/1252-1442 Dasypus novemcinctus cont2.470844, whole genome shotgun sequence.
* Block 64 <=== 714	USER>>ACFV01081988.1/3488-3678	  191   [+1+] ACFV01081988.1/3488-3678 Callithrix jacchus Contig131.290, whole genome shotgun sequence.
* Block 65 <=== 526	USER>>ABRN01361125.1/2276-2074	  203   [+0+] ABRN01361125.1/2276-2074 Tursiops truncatus cont1.361124, whole genome shotgun sequence.
* Block 66 <=== 596	USER>>AAQR03106979.1/102728-102539	  190   [+0+] AAQR03106979.1/102728-102539 Otolemur garnettii contig106979, whole genome shotgun sequence.
* Block 67 <=== 14	USER>>AAPN01113121.1/7070-7251	  182   [+0+] AAPN01113121.1/7070-7251 Ornithorhynchus anatinus Cont6367.1, whole genome shotgun sequence.
* Block 68 <=== 976	USER>>ABRR01026258.1/2654-2464	  191   [+0+] ABRR01026258.1/2654-2464 Vicugna pacos cont1.26257, whole genome shotgun sequence.
* Block 69 <=== 32	USER>>AAWR02003624.1/571805-571995	  191   [+0+] AAWR02003624.1/571805-571995 Equus caballus cont2.3623, whole genome shotgun sequence.
* Block 70 <=== 117	USER>>ABDC01224428.1/5723-5536	  188   [+0+] ABDC01224428.1/5723-5536 Microcebus murinus cont1.224427, whole genome shotgun sequence.
* Block 71 <=== 729	USER>>AAKN02021233.1/230526-230716	  191   [+0+] AAKN02021233.1/230526-230716 Cavia porcellus strain inbred line 2N cont2.21232, whole genome shotgun sequence.
* Block 72 <=== 10	USER>>AFEY01100130.1/293-483	  191   [+0+] AFEY01100130.1/293-483 Sarcophilus harrisii ctg7180001562863, whole genome shotgun sequence.
* Block 73 <=== 119	USER>>AAQR03089179.1/2609-2420	  190   [+0+] AAQR03089179.1/2609-2420 Otolemur garnettii contig089179, whole genome shotgun sequence.
* Block 74 <=== 720	USER>>ACTA01140492.1/4698-4507	  192   [+0+] ACTA01140492.1/4698-4507 Ailuropoda melanoleuca scaffold3094_5, whole genome shotgun sequence.
* Block 75 <=== 499	USER>>AAIY01311774.1/855-1045	  191   [+0+] AAIY01311774.1/855-1045 Echinops telfairi cont1.311773, whole genome shotgun sequence.
* Block 76 <=== 498	USER>>AGCE01031811.1/40145-40334	  190   [+0+] AGCE01031811.1/40145-40334 Saimiri boliviensis boliviensis contig031811, whole genome shotgun sequence.
* Block 77 <=== 98	USER>>AAGV020635042.1/4472-4282	  191   [+0+] AAGV020635042.1/4472-4282 Dasypus novemcinctus cont2.635041, whole genome shotgun sequence.
* Block 78 <=== 140	USER>>AAIY01580319.1/2504-2701	  198   [+3+] AAIY01580319.1/2504-2701 Echinops telfairi cont1.580320, whole genome shotgun sequence.
* Block 79 <=== 191	USER>>AB202073.1/636-444	  193   [+0+] AB202073.1/636-444 Solea senegalensis genes for 5S rRNA, 5S rRNA, T2 snRNA, T5 snRNA, T1 snRNA, complete sequence.
* Block 80 <=== 89	USER>>AAIY01383248.1/828-1018	  191   [+0+] AAIY01383248.1/828-1018 Echinops telfairi cont1.383247, whole genome shotgun sequence.
* Block 81 <=== 30	USER>>AAIY01562823.1/85-271	  187   [+0+] AAIY01562823.1/85-271 Echinops telfairi cont1.562824, whole genome shotgun sequence.
* Block 82 <=== 36	USER>>AAIY01479857.1/1777-1966	  190   [+0+] AAIY01479857.1/1777-1966 Echinops telfairi cont1.479857, whole genome shotgun sequence.
* Block 83 <=== 33	USER>>AAIY01147771.1/680-870	  191   [+3+] AAIY01147771.1/680-870 Echinops telfairi cont1.147770, whole genome shotgun sequence.
* Block 84 <=== 196	USER>>AAWZ02022249.1/22658-22465	  194   [+0+] AAWZ02022249.1/22658-22465 Anolis carolinensis chromosome Tnknown cont2.22248, whole genome shotgun sequence.
* Block 85 <=== 143	USER>>AAFR03029274.1/19246-19437	  192   [+0+] AAFR03029274.1/19246-19437 Monodelphis domestica cont3.029273, whole genome shotgun sequence.
* Block 86 <=== 146	USER>>AAPE02046972.1/33064-32874	  191   [+0+] AAPE02046972.1/33064-32874 Myotis lucifugus cont2.46971, whole genome shotgun sequence.
* Block 87 <=== 135	USER>>ABVD01279911.1/1712-1514	  199   [+0+] ABVD01279911.1/1712-1514 Choloepus hoffmanni cont1.279910, whole genome shotgun sequence.
* Block 88 <=== 118	USER>>ABVD01135226.1/1145-955	  191   [+0+] ABVD01135226.1/1145-955 Choloepus hoffmanni cont1.135225, whole genome shotgun sequence.
* Block 89 <=== 134	USER>>AEYP01062125.1/5520-5704	  185   [+0+] AEYP01062125.1/5520-5704 Mustela putorius furo contig062125, whole genome shotgun sequence.
* Block 90 <=== 151	USER>>AEYP01028502.1/2791-2978	  188   [+0+] AEYP01028502.1/2791-2978 Mustela putorius furo contig028502, whole genome shotgun sequence.
* Block 91 <=== 494	USER>>AL355076.5/30114-29924	  191   [+12+] AL355076.5/30114-29924 Human chromosome 14 DNA sequence BAC C-2509G16 of library CalTech-D from chromosome 14 of Homo sapiens (Human)
* Block 92 <=== 150	USER>>AAIY01646536.1/2275-2477	  203   [+0+] AAIY01646536.1/2275-2477 Echinops telfairi cont1.646537, whole genome shotgun sequence.
* Block 93 <=== 31	USER>>AANN01576857.1/884-1073	  190   [+1+] AANN01576857.1/884-1073 Erinaceus europaeus cont1.576856, whole genome shotgun sequence.
* Block 94 <=== 548	USER>>ABVD01955014.1/137-327	  191   [+1+] ABVD01955014.1/137-327 Choloepus hoffmanni cont1.955013, whole genome shotgun sequence.
* Block 95 <=== 497	USER>>AFSB01218130.1/734-921	  188   [+0+] AFSB01218130.1/734-921 Heterocephalus glaber contig218130, whole genome shotgun sequence.
* Block 96 <=== 634	USER>>AAQR03181476.1/74689-74876	  188   [+0+] AAQR03181476.1/74689-74876 Otolemur garnettii contig181476, whole genome shotgun sequence.
* Block 97 <=== 633	USER>>AANN01585844.1/2499-2309	  191   [+0+] AANN01585844.1/2499-2309 Erinaceus europaeus cont1.585843, whole genome shotgun sequence.
* Block 98 <=== 1026	USER>>ABRT010644494.1/1209-1021	  189   [+1+] ABRT010644494.1/1209-1021 Tarsius syrichta cont1.644493, whole genome shotgun sequence.
* Block 99 <=== 28	USER>>AAIY01318080.1/2566-2754	  189   [+0+] AAIY01318080.1/2566-2754 Echinops telfairi cont1.318079, whole genome shotgun sequence.
* Block 100 <=== 525	USER>>ABRT010308419.1/5651-5461	  191   [+0+] ABRT010308419.1/5651-5461 Tarsius syrichta cont1.308418, whole genome shotgun sequence.
* Block 101 <=== 577	USER>>AAGV020041726.1/1448-1258	  191   [+0+] AAGV020041726.1/1448-1258 Dasypus novemcinctus cont2.41725, whole genome shotgun sequence.
* Block 102 <=== 160	USER>>AAYZ01065478.1/1991-1799	  193   [+0+] AAYZ01065478.1/1991-1799 Ochotona princeps cont2.65477, whole genome shotgun sequence.
* Block 103 <=== 113	USER>>AAIY01002866.1/1460-1640	  181   [+0+] AAIY01002866.1/1460-1640 Echinops telfairi cont1.002865, whole genome shotgun sequence.
* Block 104 <=== 563	USER>>AAFC03073462.1/70721-70543	  179   [+1+] AAFC03073462.1/70721-70543 Bos taurus Ctg63.CH240-477L19, whole genome shotgun sequence.
* Block 105 <=== 777	USER>>AAWR02020671.1/180735-180548	  188   [+0+] AAWR02020671.1/180735-180548 Equus caballus cont2.20670, whole genome shotgun sequence.
* Block 106 <=== 992	USER>>AGCE01091416.1/3237-2995	  243   [+1+] AGCE01091416.1/3237-2995 Saimiri boliviensis boliviensis contig091416, whole genome shotgun sequence.
* Block 107 <=== 747	USER>>ADFV01061887.1/553-776	  224   [+3+] ADFV01061887.1/553-776 Nomascus leucogenys contig_101893, whole genome shotgun sequence.
* Block 108 <=== 742	USER>>ABVD01688896.1/1-184	  184   [+0+] ABVD01688896.1/1-184 Choloepus hoffmanni cont1.688895, whole genome shotgun sequence.
* Block 109 <=== 741	USER>>AAIY01678862.1/2720-2530	  191   [+0+] AAIY01678862.1/2720-2530 Echinops telfairi cont1.678863, whole genome shotgun sequence.
* Block 110 <=== 757	USER>>ACTA01056972.1/40470-40656	  187   [+0+] ACTA01056972.1/40470-40656 Ailuropoda melanoleuca scaffold362_73, whole genome shotgun sequence.
* Block 111 <=== 523	USER>>AAGV020113646.1/739-548	  192   [+0+] AAGV020113646.1/739-548 Dasypus novemcinctus cont2.113645, whole genome shotgun sequence.
* Block 112 <=== 522	USER>>AAGW02042283.1/47590-47780	  191   [+0+] AAGW02042283.1/47590-47780 Oryctolagus cuniculus cont2.42282, whole genome shotgun sequence.
* Block 113 <=== 92	USER>>AAEX03015961.1/58435-58623	  189   [+0+] AAEX03015961.1/58435-58623 Canis lupus familiaris cont3.15961, whole genome shotgun sequence.
* Block 114 <=== 109	USER>>ABGA01114620.1/2871-2682	  190   [+5+] ABGA01114620.1/2871-2682 Pongo abelii chromosome 4 P_pygmaeus2.0.2_Contig4574.3, whole genome shotgun sequence.
* Block 115 <=== 110	USER>>AAEX03011791.1/185986-186176	  191   [+0+] AAEX03011791.1/185986-186176 Canis lupus familiaris cont3.11791, whole genome shotgun sequence.
* Block 116 <=== 568	USER>>AAPE02072023.1/467-295	  173   [+0+] AAPE02072023.1/467-295 Myotis lucifugus cont2.72022, whole genome shotgun sequence.
* Block 117 <=== 569	USER>>AAGW02065112.1/31114-31290	  177   [+0+] AAGW02065112.1/31114-31290 Oryctolagus cuniculus cont2.65111, whole genome shotgun sequence.
* Block 118 <=== 571	USER>>AEYP01013557.1/104907-104750	  158   [+0+] AEYP01013557.1/104907-104750 Mustela putorius furo contig013557, whole genome shotgun sequence.
* Block 119 <=== 564	USER>>AB179181.1/1-120	  120   [+19+] AB179181.1/1-120 Macaca fascicularis testis cDNA clone: QtsA-14313, similar to human p21(CDKN1A)-activated kinase 6 (PAK6), mRNA, RefSeq: NM_020168.3.
* Block 120 <=== 573	USER>>AANN01441323.1/1228-1073	  156   [+0+] AANN01441323.1/1228-1073 Erinaceus europaeus cont1.441322, whole genome shotgun sequence.
* Block 121 <=== 572	USER>>AAIY01653432.1/1717-1926	  210   [+0+] AAIY01653432.1/1717-1926 Echinops telfairi cont1.653433, whole genome shotgun sequence.
* Block 122 <=== 574	USER>>AAIY01078988.1/1417-1609	  193   [+0+] AAIY01078988.1/1417-1609 Echinops telfairi cont1.078987, whole genome shotgun sequence.
* Block 123 <=== 575	USER>>AAIY01107086.1/334-144	  191   [+0+] AAIY01107086.1/334-144 Echinops telfairi cont1.107085, whole genome shotgun sequence.
* Block 124 <=== 627	USER>>AAQR03077436.1/1056-863	  194   [+0+] AAQR03077436.1/1056-863 Otolemur garnettii contig077436, whole genome shotgun sequence.
* Block 125 <=== 1381	USER>>AAHX01008502.1/39493-39304	  190   [+1+] AAHX01008502.1/39493-39304 Rattus norvegicus strain BN; Sprague-Dawley chromosome 1 CRA_213000034340391, whole genome shotgun sequence.
* Block 126 <=== 492	USER>>ACFV01060540.1/1520-1341	  180   [+0+] ACFV01060540.1/1520-1341 Callithrix jacchus Contig78.183, whole genome shotgun sequence.
* Block 127 <=== 8	USER>>AAIY01196249.1/1944-1738	  207   [+0+] AAIY01196249.1/1944-1738 Echinops telfairi cont1.196248, whole genome shotgun sequence.
* Block 128 <=== 778	USER>>AAIY01348300.1/2386-2193	  194   [+0+] AAIY01348300.1/2386-2193 Echinops telfairi cont1.348299, whole genome shotgun sequence.
* Block 129 <=== 793	USER>>ACIV011501983.1/259-108	  152   [+0+] ACIV011501983.1/259-108 Ovis aries omc17_31000001.457, whole genome shotgun sequence.
* Block 130 <=== 759	USER>>AAFC03004977.1/96943-97123	  181   [+1+] AAFC03004977.1/96943-97123 Bos taurus Ctg6.CH240-121B16, whole genome shotgun sequence.
* Block 131 <=== 758	USER>>AAIY01057104.1/4517-4327	  191   [+0+] AAIY01057104.1/4517-4327 Echinops telfairi cont1.057103, whole genome shotgun sequence.
* Block 132 <=== 513	USER>>AACN010042127.1/448-631	  184   [+1+] AACN010042127.1/448-631 Canis familiaris ctg19866851016837, whole genome shotgun sequence.
* Block 133 <=== 112	USER>>ACTA01033881.1/6955-6769	  187   [+0+] ACTA01033881.1/6955-6769 Ailuropoda melanoleuca scaffold753_40, whole genome shotgun sequence.
* Block 134 <=== 69	USER>>AAQR03096285.1/4019-3840	  180   [+0+] AAQR03096285.1/4019-3840 Otolemur garnettii contig096285, whole genome shotgun sequence.
* Block 135 <=== 87	USER>>AAGV020749020.1/1827-1638	  190   [+0+] AAGV020749020.1/1827-1638 Dasypus novemcinctus cont2.749019, whole genome shotgun sequence.
* Block 136 <=== 88	USER>>AAQR03069380.1/13858-13674	  185   [+0+] AAQR03069380.1/13858-13674 Otolemur garnettii contig069380, whole genome shotgun sequence.
* Block 137 <=== 624	USER>>AANN01698319.1/1145-951	  195   [+0+] AANN01698319.1/1145-951 Erinaceus europaeus cont1.698318, whole genome shotgun sequence.
* Block 138 <=== 625	USER>>AAGV020098790.1/657-842	  186   [+0+] AAGV020098790.1/657-842 Dasypus novemcinctus cont2.98789, whole genome shotgun sequence.
* Block 139 <=== 512	USER>>AEYP01021551.1/123764-123955	  192   [+0+] AEYP01021551.1/123764-123955 Mustela putorius furo contig021551, whole genome shotgun sequence.
* Block 140 <=== 552	USER>>ACTA01076366.1/33571-33835	  265   [+0+] ACTA01076366.1/33571-33835 Ailuropoda melanoleuca scaffold2838_36, whole genome shotgun sequence.
* Block 141 <=== 514	USER>>ACBE01420831.1/19051-18860	  192   [+1+] ACBE01420831.1/19051-18860 Felis catus c426401305.Contig1, whole genome shotgun sequence.
* Block 142 <=== 515	USER>>ABRT010109515.1/2503-2315	  189   [+0+] ABRT010109515.1/2503-2315 Tarsius syrichta cont1.109514, whole genome shotgun sequence.
* Block 143 <=== 22	USER>>AAIY01487197.1/421-230	  192   [+0+] AAIY01487197.1/421-230 Echinops telfairi cont1.487197, whole genome shotgun sequence.
* Block 144 <=== 3	USER>>AAPE02005790.1/15281-15471	  191   [+0+] AAPE02005790.1/15281-15471 Myotis lucifugus cont2.5789, whole genome shotgun sequence.
* Block 145 <=== 820	USER>>AEYP01016377.1/26039-26227	  189   [+0+] AEYP01016377.1/26039-26227 Mustela putorius furo contig016377, whole genome shotgun sequence.
* Block 146 <=== 139	USER>>AAIY01299559.1/2558-2369	  190   [+0+] AAIY01299559.1/2558-2369 Echinops telfairi cont1.299558, whole genome shotgun sequence.
* Block 147 <=== 120	USER>>ABRT010761613.1/359-549	  191   [+0+] ABRT010761613.1/359-549 Tarsius syrichta cont1.761612, whole genome shotgun sequence.
* Block 148 <=== 12	USER>>AAPE02019996.1/45149-44959	  191   [+3+] AAPE02019996.1/45149-44959 Myotis lucifugus cont2.19995, whole genome shotgun sequence.
* Block 149 <=== 997	USER>>AALT01256521.1/1398-1208	  191   [+0+] AALT01256521.1/1398-1208 Sorex araneus cont1.256520, whole genome shotgun sequence.
* Block 150 <=== 1324	USER>>AALT01423296.1/454-645	  192   [+1+] AALT01423296.1/454-645 Sorex araneus cont1.423295, whole genome shotgun sequence.
* Block 151 <=== 2158	USER>>AANN01599363.1/2875-3057	  183   [+0+] AANN01599363.1/2875-3057 Erinaceus europaeus cont1.599362, whole genome shotgun sequence.
* Block 152 <=== 247	USER>>ABRT010606734.1/415-597	  183   [+1+] ABRT010606734.1/415-597 Tarsius syrichta cont1.606733, whole genome shotgun sequence.
* Block 153 <=== 1208	USER>>ABRR01117430.1/1038-850	  189   [+0+] ABRR01117430.1/1038-850 Vicugna pacos cont1.117429, whole genome shotgun sequence.
