 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
* Block 22 <=== 202	USER>>ABRM01199955.1/107-1	  107   [+0+] ABRM01199955.1/107-1 Hydra magnipapillata strain 105 ctg1101284701710, whole genome shotgun sequence.
* Block 23 <=== 126	USER>>ABRM01156601.1/116-1	  116   [+1+] ABRM01156601.1/116-1 Hydra magnipapillata strain 105 ctg1101284375676, whole genome shotgun sequence.
* Block 24 <=== 40	USER>>ABRM01102601.1/1874-2011	  138   [+0+] ABRM01102601.1/1874-2011 Hydra magnipapillata strain 105 ctg1101284859888, whole genome shotgun sequence.
* Block 25 <=== 94	USER>>AAGV020561594.1/457-321	  137   [+0+] AAGV020561594.1/457-321 Dasypus novemcinctus cont2.561593, whole genome shotgun sequence.
* Block 26 <=== 146	USER>>BACK01035809.1/22275-22163	  113   [+0+] BACK01035809.1/22275-22163 Acropora digitifera DNA, contig: adi_contig_Scaffold1284_35809.
* Block 27 <=== 141	USER>>ADND01240833.1/151-260	  110   [+0+] ADND01240833.1/151-260 Lepeophtheirus salmonis strain Pacific Contig_254766, whole genome shotgun sequence.
* Block 28 <=== 96	USER>>ADND01251040.1/207-314	  108   [+0+] ADND01251040.1/207-314 Lepeophtheirus salmonis strain Pacific Contig_265984, whole genome shotgun sequence.
* Block 29 <=== 10	USER>>ADND01161331.1/3758-3866	  109   [+0+] ADND01161331.1/3758-3866 Lepeophtheirus salmonis strain Pacific Contig_163341, whole genome shotgun sequence.
* Block 30 <=== 127	USER>>AAWZ02021420.1/37909-38013	  105   [+0+] AAWZ02021420.1/37909-38013 Anolis carolinensis chromosome 3 cont2.21419, whole genome shotgun sequence.
* Block 31 <=== 42	USER>>AK380819.1/11-133	  123   [+0+] AK380819.1/11-133 Bombyx mori mRNA, clone: fufe17E10.
* Block 32 <=== 130	USER>>ACQM01069014.1/601-495	  107   [+0+] ACQM01069014.1/601-495 Saccoglossus kowalevskii Contig69170, whole genome shotgun sequence.
* Block 33 <=== 39	USER>>ACQM01010257.1/136-1	  136   [+0+] ACQM01010257.1/136-1 Saccoglossus kowalevskii Contig10290, whole genome shotgun sequence.
* Block 34 <=== 12	USER>>BACK01000486.1/13673-13786	  114   [+0+] BACK01000486.1/13673-13786 Acropora digitifera DNA, contig: adi_contig_Scaffold5_486.
* Block 35 <=== 38	USER>>ABAV01043747.1/136-1	  136   [+0+] ABAV01043747.1/136-1 Nematostella vectensis strain CH2 x CH6 NEMVEscaffold_2994_Cont43747, whole genome shotgun sequence.
* Block 36 <=== 132	USER>>AAGV020368213.1/7863-7750	  114   [+0+] AAGV020368213.1/7863-7750 Dasypus novemcinctus cont2.368212, whole genome shotgun sequence.
* Block 37 <=== 7	USER>>AAKN02042919.1/11985-12094	  110   [+0+] AAKN02042919.1/11985-12094 Cavia porcellus strain inbred line 2N cont2.42918, whole genome shotgun sequence.
* Block 38 <=== 11	USER>>AAWZ02022259.1/25512-25622	  111   [+0+] AAWZ02022259.1/25512-25622 Anolis carolinensis chromosome Tnknown cont2.22258, whole genome shotgun sequence.
* Block 39 <=== 26	USER>>AAWZ02011778.1/278936-279044	  109   [+0+] AAWZ02011778.1/278936-279044 Anolis carolinensis chromosome 5 cont2.11777, whole genome shotgun sequence.
* Block 40 <=== 131	USER>>AFSB01100470.1/27457-27327	  131   [+0+] AFSB01100470.1/27457-27327 Heterocephalus glaber contig100470, whole genome shotgun sequence.
* Block 41 <=== 24	USER>>AAIY01641676.1/2185-2295	  111   [+0+] AAIY01641676.1/2185-2295 Echinops telfairi cont1.641677, whole genome shotgun sequence.
* Block 42 <=== 2	USER>>DAAA02029499.1/101426-101316	  111   [+1+] DAAA02029499.1/101426-101316 TPA: Bos taurus chromosome 10 7180002012132, whole genome shotgun sequence.
* Block 43 <=== 37	USER>>AAIY01228837.1/1511-1392	  120   [+0+] AAIY01228837.1/1511-1392 Echinops telfairi cont1.228836, whole genome shotgun sequence.
* Block 44 <=== 3	USER>>DAAA02040905.1/66710-66832	  123   [+0+] DAAA02040905.1/66710-66832 TPA: Bos taurus chromosome 15 7180002026123, whole genome shotgun sequence.
* Block 45 <=== 4	USER>>AAFC03030226.1/270-382	  113   [+1+] AAFC03030226.1/270-382 Bos taurus Ctg8.CH240-256D13, whole genome shotgun sequence.
* Block 46 <=== 6	USER>>AAGW02027986.1/25630-25742	  113   [+0+] AAGW02027986.1/25630-25742 Oryctolagus cuniculus cont2.27985, whole genome shotgun sequence.
* Block 47 <=== 25	USER>>AAIY01030615.1/104-1	  104   [+0+] AAIY01030615.1/104-1 Echinops telfairi cont1.030614, whole genome shotgun sequence.
* Block 48 <=== 5	USER>>AAPN01431972.1/9041-8932	  110   [+1+] AAPN01431972.1/9041-8932 Ornithorhynchus anatinus Cont1792.1, whole genome shotgun sequence.
* Block 49 <=== 36	USER>>ACFV01103158.1/11569-11441	  129   [+0+] ACFV01103158.1/11569-11441 Callithrix jacchus Contig210.175, whole genome shotgun sequence.
* Block 50 <=== 29	USER>>AAIY01072490.1/120-1	  120   [+0+] AAIY01072490.1/120-1 Echinops telfairi cont1.072489, whole genome shotgun sequence.
* Block 51 <=== 31	USER>>AB179181.1/1-120	  120   [+1+] AB179181.1/1-120 Macaca fascicularis testis cDNA clone: QtsA-14313, similar to human p21(CDKN1A)-activated kinase 6 (PAK6), mRNA, RefSeq: NM_020168.3.
* Block 52 <=== 28	USER>>AEHK01065223.1/3586-3705	  120   [+0+] AEHK01065223.1/3586-3705 Macaca mulatta contig65223, whole genome shotgun sequence.
* Block 53 <=== 30	USER>>AAIY01605093.1/131-1	  131   [+0+] AAIY01605093.1/131-1 Echinops telfairi cont1.605094, whole genome shotgun sequence.
* Block 54 <=== 27	USER>>AAIY01754182.1/1494-1614	  121   [+0+] AAIY01754182.1/1494-1614 Echinops telfairi cont1.754193, whole genome shotgun sequence.
* Block 55 <=== 32	USER>>AANN01598229.1/5536-5658	  123   [+0+] AANN01598229.1/5536-5658 Erinaceus europaeus cont1.598228, whole genome shotgun sequence.
* Block 56 <=== 33	USER>>AEKQ01220203.1/130-1	  130   [+0+] AEKQ01220203.1/130-1 Mus musculus strain C57BL/6J cont1.220202, whole genome shotgun sequence.
* Block 57 <=== 34	USER>>AADB02049077.1/111-1	  111   [+0+] AADB02049077.1/111-1 Homo sapiens chromosome Tn CRA_219000002166017, whole genome shotgun sequence.
* Block 58 <=== 35	USER>>AERX01020824.1/107-1	  107   [+1+] AERX01020824.1/107-1 Oreochromis niloticus contig020824, whole genome shotgun sequence.
* Block 59 <=== 9	USER>>BAAE01038318.1/1182-1277	   96   [+1+] BAAE01038318.1/1182-1277 Oryzias latipes DNA, contig38293 in scaffold1114, strain: HNI.
* Block 60 <=== 134	USER>>CAEA01117502.1/453-541	   89   [+0+] CAEA01117502.1/453-541 Gadus morhua WGS project CAEA01000000 data, contig218066
* Block 61 <=== 21	USER>>BC146735.1/1-109	  109   [+0+] BC146735.1/1-109 Danio rerio zgc:165518, mRNA (cDNA clone MGC:165518 IMAGE:8104278), complete cds.
* Block 62 <=== 8	USER>>CABZ01106795.1/94-1	   94   [+0+] CABZ01106795.1/94-1 Danio rerio strain Tuebingen, whole genome shotgun sequencing, Contig_0115210
* Block 63 <=== 147	USER>>AAMC01067388.1/89-1	   89   [+0+] AAMC01067388.1/89-1 Xenopus (Silurana) tropicalis XENTRscaffold_273_Cont67388, whole genome shotgun sequence.
* Block 64 <=== 160	USER>>AAGW02009280.1/450-567	  118   [+0+] AAGW02009280.1/450-567 Oryctolagus cuniculus cont2.9279, whole genome shotgun sequence.
* Block 65 <=== 148	USER>>AAHX01096781.1/40578-40442	  137   [+1+] AAHX01096781.1/40578-40442 Rattus norvegicus strain BN; Sprague-Dawley chromosome 19 CRA_213000034403598, whole genome shotgun sequence.
* Block 66 <=== 144	USER>>AAFC03010454.1/10218-10117	  102   [+2+] AAFC03010454.1/10218-10117 Bos taurus Ctg14.CH240-14E9, whole genome shotgun sequence.
* Block 67 <=== 149	USER>>AEYP01041246.1/3517-3399	  119   [+0+] AEYP01041246.1/3517-3399 Mustela putorius furo contig041246, whole genome shotgun sequence.
* Block 68 <=== 305	USER>>AGFK01050066.1/642-533	  110   [+1+] AGFK01050066.1/642-533 Solanum pimpinellifolium contig_6420070, whole genome shotgun sequence.
* Block 69 <=== 304	USER>>HQ009893.1/596-726	  131   [+0+] HQ009893.1/596-726 Gymnochlora stellata strain CCMP2057 28S ribosomal RNA gene, partial sequence; and T2 snRNA gene, complete sequence; nucleomorph.
* Block 70 <=== 360	USER>>CABG01000153.1/66612-66495	  118   [+0+] CABG01000153.1/66612-66495 Schistosoma mansoni, WGS project CABG00000000 data, supercontig 0278, strain Puerto Rico
* Block 71 <=== 410	USER>>ABLE03026881.1/388-280	  109   [+0+] ABLE03026881.1/388-280 Caenorhabditis japonica strain DF5081 Contig17647.16, whole genome shotgun sequence.
* Block 72 <=== 315	USER>>AAQX01002532.1/8320-8411	   92   [+0+] AAQX01002532.1/8320-8411 Phytophthora ramorum strain Pr102 Pramorum_Cont2532, whole genome shotgun sequence.
* Block 73 <=== 214	USER>>ADOS01001528.1/5261-5383	  123   [+0+] ADOS01001528.1/5261-5383 Pythium ultimum DAOM BR144 ctg_1117875581011, whole genome shotgun sequence.
* Block 74 <=== 199	USER>>AFXY01000623.1/84-1	   84   [+1+] AFXY01000623.1/84-1 Tetrahymena malaccensis 436 cont1.623, whole genome shotgun sequence.
* Block 75 <=== 151	USER>>AAXJ01007696.1/104-1	  104   [+0+] AAXJ01007696.1/104-1 Perkinsus marinus ATCC 50983 gcontig_1104296715094, whole genome shotgun sequence.
* Block 76 <=== 200	USER>>AFXF01000549.1/164361-164453	   93   [+0+] AFXF01000549.1/164361-164453 Tetrahymena elliotti 4EA cont1.549, whole genome shotgun sequence.
* Block 77 <=== 355	USER>>AEWC01039629.1/13642-13769	  128   [+0+] AEWC01039629.1/13642-13769 Solanum tuberosum scf00580_15, whole genome shotgun sequence.
* Block 78 <=== 155	USER>>AC209534.4/36875-37009	  135   [+0+] AC209534.4/36875-37009 Medicago truncatula chromosome 2 BAC clone mth2-125a15, complete sequence.
* Block 79 <=== 317	USER>>ABVD01172711.1/10444-10342	  103   [+0+] ABVD01172711.1/10444-10342 Choloepus hoffmanni cont1.172710, whole genome shotgun sequence.
* Block 80 <=== 228	USER>>ABJB011067040.1/1295-1420	  126   [+0+] ABJB011067040.1/1295-1420 Ixodes scapularis strain Wikel colony gcontig_1108379484123, whole genome shotgun sequence.
* Block 81 <=== 265	USER>>ABJB010207322.1/1070-1164	   95   [+0+] ABJB010207322.1/1070-1164 Ixodes scapularis strain Wikel colony gcontig_1108379217718, whole genome shotgun sequence.
* Block 82 <=== 225	USER>>BAAB01160150.1/507-594	   88   [+0+] BAAB01160150.1/507-594 Bombyx mori DNA, contig598881.
* Block 83 <=== 636	USER>>AACT01050693.1/1-128	  128   [+0+] AACT01050693.1/1-128 Ciona savignyi cont_50693, whole genome shotgun sequence.
* Block 84 <=== 538	USER>>AACT01051126.1/1-132	  132   [+0+] AACT01051126.1/1-132 Ciona savignyi cont_51126, whole genome shotgun sequence.
* Block 85 <=== 477	USER>>AACT01062947.1/1-129	  129   [+0+] AACT01062947.1/1-129 Ciona savignyi cont_62947, whole genome shotgun sequence.
* Block 86 <=== 473	USER>>AACT01048595.1/1088-958	  131   [+0+] AACT01048595.1/1088-958 Ciona savignyi cont_48595, whole genome shotgun sequence.
* Block 87 <=== 478	USER>>AACT01036882.1/1-130	  130   [+0+] AACT01036882.1/1-130 Ciona savignyi cont_36882, whole genome shotgun sequence.
* Block 88 <=== 637	USER>>AACT01040309.1/653-772	  120   [+0+] AACT01040309.1/653-772 Ciona savignyi cont_40309, whole genome shotgun sequence.
* Block 89 <=== 634	USER>>AACT01054753.1/122-1	  122   [+0+] AACT01054753.1/122-1 Ciona savignyi cont_54753, whole genome shotgun sequence.
* Block 90 <=== 537	USER>>AACT01035902.1/113-1	  113   [+0+] AACT01035902.1/113-1 Ciona savignyi cont_35902, whole genome shotgun sequence.
* Block 91 <=== 479	USER>>AACT01046132.1/909-1028	  120   [+1+] AACT01046132.1/909-1028 Ciona savignyi cont_46132, whole genome shotgun sequence.
* Block 92 <=== 411	USER>>AACT01038535.1/134-1	  134   [+0+] AACT01038535.1/134-1 Ciona savignyi cont_38535, whole genome shotgun sequence.
* Block 93 <=== 314	USER>>AACT01050431.1/138-1	  138   [+1+] AACT01050431.1/138-1 Ciona savignyi cont_50431, whole genome shotgun sequence.
* Block 94 <=== 324	USER>>AACT01036292.1/100-1	  100   [+0+] AACT01036292.1/100-1 Ciona savignyi cont_36292, whole genome shotgun sequence.
* Block 95 <=== 261	USER>>AACT01049661.1/100-1	  100   [+1+] AACT01049661.1/100-1 Ciona savignyi cont_49661, whole genome shotgun sequence.
* Block 96 <=== 219	USER>>AACT01063364.1/124-1	  124   [+0+] AACT01063364.1/124-1 Ciona savignyi cont_63364, whole genome shotgun sequence.
* Block 97 <=== 196	USER>>AACT01037465.1/131-1	  131   [+0+] AACT01037465.1/131-1 Ciona savignyi cont_37465, whole genome shotgun sequence.
* Block 98 <=== 198	USER>>AACT01034173.1/591-705	  115   [+1+] AACT01034173.1/591-705 Ciona savignyi cont_34173, whole genome shotgun sequence.
* Block 99 <=== 197	USER>>AACT01031764.1/1063-1198	  136   [+0+] AACT01031764.1/1063-1198 Ciona savignyi cont_31764, whole genome shotgun sequence.
* Block 100 <=== 135	USER>>AACT01047920.1/955-1076	  122   [+2+] AACT01047920.1/955-1076 Ciona savignyi cont_47920, whole genome shotgun sequence.
* Block 101 <=== 41	USER>>AACT01048591.1/447-582	  136   [+0+] AACT01048591.1/447-582 Ciona savignyi cont_48591, whole genome shotgun sequence.
* Block 102 <=== 154	USER>>ADBW01013755.1/634-749	  116   [+0+] ADBW01013755.1/634-749 Onchocerca volvulus cont1.13755, whole genome shotgun sequence.
* Block 103 <=== 293	USER>>AFPQ01005564.1/53647-53754	  108   [+0+] AFPQ01005564.1/53647-53754 Drosophila eugracilis ctg7180000402974, whole genome shotgun sequence.
* Block 104 <=== 231	USER>>ABKP02008713.1/29510-29620	  111   [+0+] ABKP02008713.1/29510-29620 Anopheles gambiae M ctg1925449531, whole genome shotgun sequence.
* Block 105 <=== 45	USER>>AAST01028296.1/120-1	  120   [+0+] AAST01028296.1/120-1 Drosophila simulans strain MD199S Cont818.7, whole genome shotgun sequence.
* Block 106 <=== 138	USER>>ABLF02052632.1/108-1	  108   [+0+] ABLF02052632.1/108-1 Acyrthosiphon pisum strain LSR1 Contig1011870, whole genome shotgun sequence.
* Block 107 <=== 44	USER>>AB322953.1/129-241	  113   [+0+] AB322953.1/129-241 Drosophila melanogaster DNA, chromosome 2L, 34B1, GS vector insertion site flanking region, clone: 21886-3p-7.seq.
* Block 108 <=== 23	USER>>AGAI01065365.1/1855-1724	  132   [+0+] AGAI01065365.1/1855-1724 Melopsittacus undulatus budgerigar_v6.3_ctg900160246378, whole genome shotgun sequence.
* Block 109 <=== 14	USER>>BAAE01195075.1/793-897	  105   [+0+] BAAE01195075.1/793-897 Oryzias latipes DNA, contig194996 in scaffold12050, strain: HNI.
* Block 110 <=== 22	USER>>BAAE01320882.1/561-658	   98   [+0+] BAAE01320882.1/561-658 Oryzias latipes DNA, contig320980 in scaffold57237, strain: HNI.
* Block 111 <=== 15	USER>>BAAE01320655.1/110-1	  110   [+0+] BAAE01320655.1/110-1 Oryzias latipes DNA, contig320713 in scaffold57010, strain: HNI.
* Block 112 <=== 16	USER>>AGFK01216439.1/134-1	  134   [+0+] AGFK01216439.1/134-1 Solanum pimpinellifolium contig_6645163, whole genome shotgun sequence.
* Block 113 <=== 18	USER>>AGFK01179564.1/112-1	  112   [+1+] AGFK01179564.1/112-1 Solanum pimpinellifolium contig_6595152, whole genome shotgun sequence.
* Block 114 <=== 20	USER>>AGQN01027995.1/4620-4738	  119   [+0+] AGQN01027995.1/4620-4738 Cannabis sativa strain Purple Kush scaffold2814_1, whole genome shotgun sequence.
* Block 115 <=== 13	USER>>AACV01016781.1/1811-1927	  117   [+1+] AACV01016781.1/1811-1927 Oryza sativa Japonica Group chromosome 7 Ctg016781, whole genome shotgun sequence.
* Block 116 <=== 17	USER>>AFSA01036680.1/4523-4626	  104   [+3+] AFSA01036680.1/4523-4626 Lactuca sativa, whole genome shotgun sequence.
* Block 117 <=== 19	USER>>ABIM01013853.1/129-1	  129   [+0+] ABIM01013853.1/129-1 Carica papaya chromosome LG5 contig_13870, whole genome shotgun sequence.
* Block 118 <=== 166	USER>>AF110889.1/1-132	  132   [+0+] AF110889.1/1-132 Tnixenus mjobergi T2 snRNA gene, partial sequence.
* Block 119 <=== 242	USER>>AF185213.1/1-132	  132   [+0+] AF185213.1/1-132 Paralepidonotus ampulliferus T2 small nuclear RNA, partial sequence.
* Block 120 <=== 182	USER>>AY296863.1/1-129	  129   [+0+] AY296863.1/1-129 Campanile symbolicum voucher C203211 T2 snRNA gene, partial sequence.
* Block 121 <=== 52	USER>>AY296853.1/1-129	  129   [+0+] AY296853.1/1-129 Anadara trapezia voucher C203202 T2 snRNA gene, partial sequence.
* Block 122 <=== 125	USER>>AF370823.1/1-132	  132   [+0+] AF370823.1/1-132 Locusta migratoria T2 small nuclear RNA, complete sequence.
* Block 123 <=== 73	USER>>AF370822.1/1-132	  132   [+0+] AF370822.1/1-132 Periplaneta americana T2 small nuclear RNA, complete sequence.
* Block 124 <=== 59	USER>>AF370821.1/1-132	  132   [+0+] AF370821.1/1-132 Callibaetis ferrugineus T2 small nuclear RNA, complete sequence.
* Block 125 <=== 60	USER>>AY296851.1/1-129	  129   [+0+] AY296851.1/1-129 Ischnochiton australis voucher C203201 T2 snRNA gene, partial sequence.
* Block 126 <=== 177	USER>>AF185212.1/1-133	  133   [+0+] AF185212.1/1-133 Phyllochaetopterus sp. AMW24402 T2 small nuclear RNA gene, partial sequence.
* Block 127 <=== 69	USER>>AF185200.1/1-133	  133   [+0+] AF185200.1/1-133 Owenia fusiformis T2 small nuclear RNA, partial sequence.
* Block 128 <=== 300	USER>>ET289837.1/1-127	  127   [+0+] ET289837.1/1-127 Cypraea annulus voucher C.203215 T2 snRNA gene, partial sequence.
* Block 129 <=== 167	USER>>AF110902.1/1-131	  131   [+0+] AF110902.1/1-131 Limulus polyphemus T2 snRNA gene, partial sequence.
* Block 130 <=== 298	USER>>AY296865.1/1-129	  129   [+0+] AY296865.1/1-129 Epitonium cf. jukesianum voucher C203218 T2 snRNA gene, partial sequence.
* Block 131 <=== 247	USER>>AY296864.1/1-129	  129   [+0+] AY296864.1/1-129 Austrolittorina unifasciata voucher C203212 T2 snRNA gene, partial sequence.
* Block 132 <=== 175	USER>>AY296862.1/1-129	  129   [+0+] AY296862.1/1-129 Leptopoma perlucida voucher QM M031142 T2 snRNA gene, partial sequence.
* Block 133 <=== 57	USER>>AF110896.1/1-132	  132   [+0+] AF110896.1/1-132 Derocheilocaris remanei T2 snRNA gene, partial sequence.
* Block 134 <=== 47	USER>>AF370820.1/1-131	  131   [+0+] AF370820.1/1-131 Carcinoscorpius rotundicauda T2 small nuclear RNA, complete sequence.
* Block 135 <=== 70	USER>>AF110905.1/1-131	  131   [+0+] AF110905.1/1-131 Lychas marmoreus T2 snRNA gene, partial sequence.
* Block 136 <=== 173	USER>>AF185211.1/1-133	  133   [+0+] AF185211.1/1-133 Malacoceros sp. AMW8671 T2 small nuclear RNA, partial sequence.
* Block 137 <=== 75	USER>>AF185199.1/1-133	  133   [+0+] AF185199.1/1-133 Galeolaria caespitosa T2 small nuclear RNA, partial sequence.
* Block 138 <=== 176	USER>>AF110879.1/1-131	  131   [+0+] AF110879.1/1-131 Oroperipatus corradoi T2 snRNA gene, partial sequence.
* Block 139 <=== 172	USER>>AF110878.1/1-131	  131   [+1+] AF110878.1/1-131 Tasmanipatus barretti T2 snRNA gene, partial sequence.
* Block 140 <=== 50	USER>>AY296856.1/1-129	  129   [+0+] AY296856.1/1-129 Notoacmea petterdi voucher C203205 T2 snRNA gene, partial sequence.
* Block 141 <=== 62	USER>>AF110893.1/1-132	  132   [+0+] AF110893.1/1-132 Allomachilis froggarti T2 snRNA gene, partial sequence.
* Block 142 <=== 55	USER>>AF110892.1/1-132	  132   [+0+] AF110892.1/1-132 Tricholepidion gertschi T2 snRNA gene, partial sequence.
* Block 143 <=== 58	USER>>AF110895.1/1-132	  132   [+0+] AF110895.1/1-132 Lasionectes exleyi T2 snRNA gene, partial sequence.
* Block 144 <=== 164	USER>>AY296866.1/1-129	  129   [+0+] AY296866.1/1-129 Conus miles voucher C203223 T2 snRNA gene, partial sequence.
* Block 145 <=== 83	USER>>AF342706.1/1-133	  133   [+0+] AF342706.1/1-133 Amphicteis dalmatica small nuclear RNA T2, partial sequence.
* Block 146 <=== 174	USER>>ET289839.1/1-128	  128   [+0+] ET289839.1/1-128 Bellamya heudi voucher C.203209 T2 snRNA gene, partial sequence.
* Block 147 <=== 72	USER>>AF110885.1/1-132	  132   [+0+] AF110885.1/1-132 Cormocephalus sp. T2 snRNA gene, partial sequence.
* Block 148 <=== 61	USER>>AF110882.1/1-133	  133   [+0+] AF110882.1/1-133 Craterostigmus tasmanianus T2 snRNA gene, partial sequence.
* Block 149 <=== 71	USER>>AF110883.1/1-132	  132   [+0+] AF110883.1/1-132 Schizoribautia sp. T2 snRNA gene, partial sequence.
* Block 150 <=== 56	USER>>AF110887.1/1-132	  132   [+0+] AF110887.1/1-132 Pauropodinae gen. sp. T2 snRNA gene, partial sequence.
* Block 151 <=== 80	USER>>AF110888.1/1-132	  132   [+0+] AF110888.1/1-132 Epicyliosoma sp. AMcL-1999 T2 snRNA gene, partial sequence.
* Block 152 <=== 181	USER>>AF185202.1/1-133	  133   [+0+] AF185202.1/1-133 Glycera sp. AMW196835 T2 small nuclear RNA, partial sequence.
* Block 153 <=== 51	USER>>AF342708.1/1-133	  133   [+1+] AF342708.1/1-133 Amaeana trilobata small nuclear RNA T2, partial sequence.
* Block 154 <=== 54	USER>>AY296860.1/1-129	  129   [+0+] AY296860.1/1-129 Coccopigya hispida voucher NMNZ M75188 T2 snRNA gene, partial sequence.
* Block 155 <=== 180	USER>>AY583722.1/1-133	  133   [+0+] AY583722.1/1-133 Phyllodoce sp. AMEBT14763 T2 snRNA gene, partial sequence.
